file,No.,วันที่เข้าตรวจ(ใส่ D/M/2026),ผู้ตรวจ (ระบุชื่อ),หมวด (เลือก Dropdown),หัวข้อรายละเอียดที่พบ,Zone(โซน),Issue / Area(พื้นที่),Improvement Detail(สิ่งที่ต้องแก้ไข/ปรับปรุง),"Responsibility(ผู้รับผิดชอบ เช่น PMR,HC)",ระดับความสำคัญ,Duedate(กำหนดการแล้วเสร็จ),Completion Date(วันที่แล้วเสร็จ),จำนวนวันแล้วเสร็จ (ห้ามแก้ไข),Details Progress,Status (สถานะการแก้ไข),หมายเหตุ,ห้ามแก้ไขชื่อคอลัมน์,IO_Code,BU,project_name
5500-1035 บุราสิริ วัชรพล.xlsx,28,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)","หินกรวด,หินแกรนิต",งานสวน,สวน 1,"เติมหินกรวด,หินแกรนิต",PMR,Yellow,31/03/2026,31/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,29,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",ไม้พุ่ม,งานสวน,สวน 1,เติมไม้พุ่ม,PMR,Yellow,30/03/2026,30/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,30,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",เตยหอม,งานสวน,สวน 1,สางโปร่งเตยหอม,PMR,Yellow,30/03/2026,30/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,32,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",วัชพืช,งานสวน,สวน 1,กำจัดวัชพืช,PMR,Yellow,23/03/2026,23/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,33,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",วัชพืช,งานสวน,สวน 1,กำจัดวัชพืช,PMR,Yellow,16/03/2026,16/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,34,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",วัชพืช,งานสวน,สวน 1,กำจัดวัชพืช,PMR,Yellow,16/03/2026,16/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,45,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)","หินกรวด,หินแกรนิต",งานสวน,สวน 2,"เติมหินกรวด,หินแกรนิต",PMR,Yellow,31/03/2026,31/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,46,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)","หินกรวด,หินแกรนิต",งานสวน,สวน 2,"เติมหินกรวด,หินแกรนิต",PMR,Yellow,31/03/2026,31/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,48,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",เตยหอม,งานสวน,สวน 2,รื้อถอนเตยหอม,PMR,Yellow,16/03/2026,16/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,51,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",วัชพืช,งานสวน,สวน 2,ดำเนินการรื้อต้นไม้วัชพืชออก,PMR,Yellow,16/03/2026,16/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,52,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",ต้นยี่โถ,งานสวน,สวน 2,ดำเนินการตัดลดระดับต้นยี่โถ,PMR,Yellow,16/03/2026,16/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1035 บุราสิริ วัชรพล.xlsx,54,28/02/2026,คุณภัคภร สุภาคำ,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",เตยด่าง,งานสวน,สวน 2,ดำเนินการสางโปร่งเตยด่าง,PMR,Yellow,24/03/2026,24/03/2026,0,,Complete,,,5500-1035,PMR-HT,บุราสิริ วัชรพล
5500-1198 เดมี พระราม 9-เหม่งจ๋าย.xlsx,4,10/03/2026,PMR,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",ต้นไม้บุษาฮาวายโดนเพลี้ยกิน,งานสวน,สวน,แจ้งทีม PJ และPD เพื่อขอเปลี่ยนพันธ์ไม้ใหม่,PMR,Yellow,14/03/2026,14/03/2026,0,,Complete,,,5500-1198,PMR-HT,เดมี พระราม 9 - เหม่งจ๋าย
5500-1071 สราญสิริ ชัยพฤกษ์ แจ้งวัฒนะ.xlsx,3,24/02/2026,OM ศักดิ์นรินทร์,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",กิ่งขึ้นโคนต้น,งานสวน,หน้าโครงการ,ตัดแต่งกิ่งโคนต้นออก,PMR,Yellow,27/02/2026,27/02/2026,0,,Complete,,,5500-1071,PMR-HT,สราญสิริ ชัยพฤกษ์-แจ้งวัฒนะ
5500-1071 สราญสิริ ชัยพฤกษ์ แจ้งวัฒนะ.xlsx,4,24/02/2026,OM ศักดิ์นรินทร์,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",วัชพืชขึ้นตามต้นไม้,งานสวน,หน้าโครงการ,เคลียร์วัชพืชออก,PMR,Yellow,27/02/2026,27/02/2026,0,,Complete,,,5500-1071,PMR-HT,สราญสิริ ชัยพฤกษ์-แจ้งวัฒนะ
5500-1071 สราญสิริ ชัยพฤกษ์ แจ้งวัฒนะ.xlsx,5,24/02/2026,OM ศักดิ์นรินทร์,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",วัชพืชขึ้นตามต้นไม้,งานสวน,หน้าโครงการ,เคลียร์วัชพืชออก,PMR,Yellow,27/02/2026,27/02/2026,0,,Complete,,,5500-1071,PMR-HT,สราญสิริ ชัยพฤกษ์-แจ้งวัฒนะ
5500-1071 สราญสิริ ชัยพฤกษ์ แจ้งวัฒนะ.xlsx,6,24/02/2026,OM ศักดิ์นรินทร์,"งาน Landscape (เช่น งานสวน, งานพื้นที่สีเขียว)",เปลือกไม้ค้ำยัน,งานสวน,หน้าโครงการ,ลอกเปลือกไม้ค้ำยัน,PMR,Yellow,27/02/2026,27/02/2026,0,,Complete,,,5500-1071,PMR-HT,สราญสิริ ชัยพฤกษ์-แจ้งวัฒนะ
